koen,vaegt,hoejde,alder,ryger
Kvinde,63,168,30,Ryger
Mand,72,175,28,Ryger ikke
Kvinde,98,162,58,Ryger
Mand,65,180,30,Ryger
Kvinde,53,170,26,Ryger ikke
Kvinde,95,182,19,Ryger ikke
Mand,72,176,60,Ryger ikke
Mand,84,181,22,Ryger ikke
Kvinde,59,153,51,Ryger ikke
Mand,85,191,54,Ryger
Kvinde,58,162,36,Ryger ikke
Mand,88,187,27,Ryger ikke
Mand,70,182,26,Ryger
Kvinde,NA,163,40,Ryger
Mand,98,190,29,Ryger ikke
Kvinde,59,164,73,Ryger ikke
Mand,68,176,71,Ryger
Mand,84,181,65,Ryger ikke
Mand,63,164,45,Ryger
Kvinde,57,160,23,Ryger
Kvinde,47,160,46,NA
Mand,95,190,29,Ryger
Kvinde,70,170,41,Ryger
Mand,108,197,40,Ryger ikke
Mand,78,180,70,Ryger
Kvinde,90,168,39,Ryger
Kvinde,61,162,41,Ryger ikke
Kvinde,67,176,35,Ryger
Mand,75,170,32,Ryger ikke
Mand,78,188,23,Ryger ikke
Mand,120,174,53,Ryger
Kvinde,59,170,37,Ryger ikke
Kvinde,65,195,67,Ryger ikke
Kvinde,68.5,166,30,Ryger
Kvinde,60,175,40,Ryger ikke
Kvinde,68,178,22,Ryger ikke
Kvinde,81,183,31,Ryger ikke
Kvinde,52,161,26,Ryger ikke
Mand,90,173,79,Ryger ikke
Kvinde,99,172,54,Ryger
Kvinde,60,169,23,Ryger
Mand,88,189,23,Ryger
Kvinde,67,170,22,Ryger ikke
Kvinde,85,159,58,Ryger ikke
Kvinde,64,172,27,Ryger
Kvinde,75,158,31,Ryger ikke
Kvinde,62,180,27,Ryger
Mand,70,178,40,Ryger
Kvinde,68,179,25,Ryger
Mand,80,189,23,Ryger ikke
Mand,75,190,38,Ryger ikke
Kvinde,65,162,55,Ryger
Mand,102,175,75,Ryger ikke
Kvinde,67,162,43,Ryger ikke
Mand,78,178,47,Ryger ikke
Kvinde,68,168,24,NA
Mand,90,178,75,Ryger ikke
Mand,105,180,45,Ryger
Kvinde,60,168,22,Ryger
Mand,70,172,47,Ryger
Mand,86,179,27,Ryger ikke
Kvinde,60,160,60,Ryger
Kvinde,55,156,51,Ryger
Mand,77,183,34,Ryger ikke
Kvinde,63,158,75,Ryger ikke
Kvinde,45,158,82,NA
Mand,60,168,42,Ryger ikke
Mand,97,172,50,Ryger ikke
Kvinde,65,165,60,Ryger
Kvinde,62,172,39,Ryger ikke
Kvinde,69,169,48,Ryger
Mand,80,187,33,Ryger ikke
Kvinde,68,171,33,Ryger ikke
Kvinde,62,160,58,Ryger ikke
Mand,77,188,24,Ryger
Kvinde,87,176,26,Ryger ikke
Mand,75,175,23,Ryger ikke
Mand,75,180,42,Ryger ikke
Kvinde,78,167,50,Ryger
Kvinde,54,168,20,Ryger ikke
Mand,52,169,32,Ryger
Mand,83,180,49,Ryger
Kvinde,54,162,68,Ryger
Mand,95,180,35,Ryger ikke
Kvinde,64,174,29,Ryger ikke
Kvinde,56,173,22,Ryger
Kvinde,62,175,34,Ryger ikke
Kvinde,54,169,24,Ryger ikke
Kvinde,55,166,22,Ryger ikke
Mand,78,183,35,Ryger
Kvinde,53,159,33,Ryger ikke
Mand,85,182,48,Ryger
Mand,68,166,79,Ryger
Kvinde,73,173,24,Ryger
NA,NA,NA,NA,Ryger ikke
Kvinde,60,167,28,Ryger
Mand,85,186,23,Ryger
Mand,82,187,39,Ryger
Mand,75,183,21,Ryger ikke
Mand,67,180,21,Ryger
Kvinde,60,164,28,Ryger ikke
Mand,62,170,28,Ryger ikke
Kvinde,55,166,66,Ryger
Mand,78,187,24,Ryger
Kvinde,85,164,73,Ryger
Mand,88,191,23,Ryger
Kvinde,67,175,45,Ryger
Mand,76,185,37,Ryger ikke
Mand,75,187,23,Ryger ikke
Kvinde,73,178,20,Ryger
Mand,70,181,22,Ryger ikke
Mand,72,180,32,Ryger
Kvinde,70,170,29,Ryger ikke
Kvinde,69,164,33,Ryger ikke
Kvinde,53,160,48,Ryger
Kvinde,60,174,27,Ryger ikke
Kvinde,66,172,19,Ryger ikke
Kvinde,90,159,45,Ryger ikke
Kvinde,58,165,39,Ryger ikke
Kvinde,67,165,36,Ryger
Mand,75,173,48,Ryger
Kvinde,65,165,31,Ryger ikke
Mand,95,192,23,Ryger ikke
Kvinde,70,165,31,Ryger ikke
Mand,74,176,21,Ryger ikke
Kvinde,47,163,68,Ryger
Mand,88,176,49,Ryger
Mand,102,185,31,Ryger
Kvinde,61,169,43,Ryger ikke
Mand,90,173,31,Ryger ikke
Kvinde,62,160,79,Ryger
Mand,77,176,76,Ryger ikke
Mand,55,172,45,Ryger
Kvinde,75,165,87,Ryger ikke
Mand,88,182,38,Ryger
Mand,58,181,27,Ryger
Kvinde,45,168,82,Ryger
Mand,70,176,53,Ryger
Kvinde,65,165,50,Ryger ikke
Kvinde,45,160,46,Ryger
Kvinde,60,168,40,Ryger ikke
Kvinde,55,163,24,Ryger ikke
Mand,104,192,30,Ryger ikke
Kvinde,82,170,33,Ryger
Kvinde,77,166,22,Ryger ikke
Kvinde,58,167,21,Ryger ikke
Kvinde,54,158,20,Ryger ikke
Kvinde,52,160,34,Ryger ikke
Kvinde,63,167,31,Ryger
Mand,63,182,26,Ryger ikke
Mand,95,191,25,Ryger
Mand,82,174,46,Ryger ikke
NA,NA,NA,NA,Ryger ikke
Kvinde,65,154,83,Ryger ikke
Mand,78,178,42,Ryger
Kvinde,65,167,26,Ryger
Kvinde,54,163,33,Ryger ikke
Kvinde,52,164,25,Ryger ikke
Kvinde,78,178,42,Ryger
Kvinde,59.5,NA,29,Ryger
Kvinde,51,164,79,Ryger
Kvinde,62,164,23,Ryger ikke
Mand,75,186,27,Ryger
Mand,76,180,24,Ryger
Mand,74.5,182,31,Ryger ikke
Mand,65,170,85,Ryger ikke
Kvinde,68,168,85,Ryger ikke
